-0.024451,0.053555,-0.076839,0.040762,0.113652,0.080502,0.163875,0.083814
-0.024453,0.053556,-0.07684,0.040765,0.113652,0.080503,0.163875,0.083812
-0.024454,0.053556,-0.076839,0.040764,0.113651,0.080504,0.163876,0.083815
-0.024454,0.053557,-0.076837,0.040764,0.113653,0.080503,0.163879,0.083815
-0.024452,0.053558,-0.076839,0.040763,0.113652,0.080504,0.163877,0.083812
-0.024454,0.053555,-0.076838,0.040762,0.11365,0.080503,0.163874,0.083811
-0.024455,0.053557,-0.076839,0.040767,0.113649,0.080505,0.163877,0.083814
-0.024452,0.053557,-0.07684,0.040764,0.113654,0.080504,0.163878,0.083815
-0.024451,0.053557,-0.076839,0.040763,0.11365,0.080504,0.163875,0.083813
-0.024453,0.053558,-0.076839,0.040767,0.113652,0.080504,0.163878,0.083813
-0.024454,0.053556,-0.076838,0.040764,0.113651,0.080505,0.163874,0.083814
-0.024452,0.053559,-0.076839,0.040766,0.11365,0.080505,0.163876,0.083814
-0.024452,0.053557,-0.076838,0.040765,0.113654,0.080505,0.163877,0.083816
-0.024452,0.053556,-0.076838,0.040763,0.113651,0.080504,0.163875,0.083813
-0.024454,0.053555,-0.076839,0.040764,0.113651,0.080504,0.163879,0.083812
-0.024451,0.053558,-0.076838,0.040767,0.11365,0.080504,0.163877,0.083816
-0.024451,0.053557,-0.07684,0.040765,0.113654,0.080504,0.163877,0.083814
-0.024452,0.053556,-0.076838,0.040763,0.113651,0.080504,0.163877,0.083815
-0.024455,0.053556,-0.076841,0.040765,0.113652,0.080503,0.163874,0.083813
-0.024453,0.053556,-0.07684,0.040765,0.113649,0.080504,0.163876,0.083814
-0.024453,0.053557,-0.076838,0.040766,0.113652,0.080504,0.163875,0.083815
-0.024453,0.053556,-0.076838,0.040764,0.113652,0.080504,0.163878,0.083813
-0.024456,0.053555,-0.07684,0.040764,0.11365,0.080503,0.163876,0.083813
-0.024453,0.053557,-0.076838,0.040765,0.113652,0.080504,0.163878,0.083813
-0.024453,0.053558,-0.076837,0.040767,0.113654,0.080505,0.163877,0.083817
-0.024452,0.053556,-0.076839,0.040764,0.113652,0.080505,0.163877,0.083814
-0.024454,0.053557,-0.076841,0.040763,0.11365,0.080501,0.163875,0.083812
-0.024454,0.053558,-0.07684,0.040765,0.11365,0.080503,0.163875,0.083815
-0.024453,0.053557,-0.076839,0.040764,0.11365,0.080505,0.163876,0.083813
-0.024453,0.053558,-0.076838,0.040766,0.113652,0.080506,0.163874,0.083814
-0.024452,0.053555,-0.076838,0.040761,0.113652,0.080503,0.163877,0.083813
-0.024454,0.053555,-0.076838,0.040765,0.113653,0.080503,0.163878,0.083812
-0.024453,0.053557,-0.076838,0.040766,0.113651,0.080504,0.163875,0.083814
-0.024452,0.053558,-0.076839,0.040765,0.113651,0.080505,0.163876,0.083813
-0.024453,0.053557,-0.076838,0.040764,0.113651,0.080503,0.163875,0.083813
-0.024454,0.053556,-0.076838,0.040763,0.113651,0.080502,0.163875,0.083813
-0.024453,0.053559,-0.07684,0.040767,0.113652,0.080505,0.163876,0.083813
-0.024452,0.053557,-0.076837,0.040765,0.113652,0.080506,0.163876,0.083816
-0.024452,0.053557,-0.076837,0.040767,0.113653,0.080505,0.163877,0.083814
-0.024454,0.053556,-0.07684,0.040763,0.113652,0.080502,0.163875,0.083812
-0.024455,0.053556,-0.076837,0.040764,0.113651,0.080504,0.163876,0.083813
-0.024454,0.053559,-0.076837,0.040766,0.113652,0.080507,0.163876,0.083815
-0.024451,0.053558,-0.076837,0.040765,0.113652,0.080503,0.163878,0.083814
-0.024452,0.053556,-0.076839,0.040763,0.113651,0.080504,0.163878,0.083813
-0.024456,0.053555,-0.076839,0.040763,0.11365,0.080504,0.163877,0.083813
-0.024452,0.053559,-0.076839,0.040763,0.113653,0.080506,0.163876,0.083815
-0.024452,0.053558,-0.076838,0.040765,0.113653,0.080505,0.163878,0.083814
-0.024453,0.053556,-0.076839,0.040765,0.113653,0.080502,0.163876,0.083813
-0.024455,0.053555,-0.07684,0.040764,0.113653,0.080502,0.163875,0.083811
-0.024455,0.053558,-0.076837,0.040765,0.113652,0.080503,0.163876,0.083814
-0.024452,0.053559,-0.076838,0.040765,0.113653,0.080506,0.163878,0.083816
-0.024454,0.053555,-0.076839,0.040764,0.113654,0.080504,0.163877,0.083811
-0.024453,0.053557,-0.076839,0.040764,0.113652,0.080503,0.163875,0.083813
-0.024452,0.053556,-0.076841,0.040764,0.113651,0.080504,0.163877,0.083813
-0.024455,0.053559,-0.076838,0.040766,0.113652,0.080506,0.163876,0.083815
-0.024452,0.053558,-0.076839,0.040765,0.113653,0.080503,0.163877,0.083812
-0.024455,0.053554,-0.076841,0.040762,0.11365,0.080502,0.163875,0.08381
-0.024455,0.053557,-0.07684,0.040765,0.113654,0.080504,0.163877,0.083813
-0.024455,0.053557,-0.076837,0.040766,0.113653,0.080507,0.163876,0.083816
-0.024452,0.053558,-0.076837,0.040765,0.113655,0.080505,0.163876,0.083813
-0.024453,0.053556,-0.076839,0.040762,0.113655,0.080503,0.163877,0.083811
-0.024454,0.053557,-0.076842,0.040764,0.113649,0.080503,0.163877,0.083812
-0.024453,0.053558,-0.076837,0.040766,0.113649,0.080506,0.163875,0.083816
-0.024453,0.053558,-0.076839,0.040767,0.113651,0.080505,0.163878,0.083814
-0.024452,0.053557,-0.076836,0.040763,0.113653,0.080503,0.163876,0.083815
-0.024454,0.053555,-0.076839,0.040762,0.113651,0.080502,0.163876,0.08381
-0.024455,0.053557,-0.07684,0.040766,0.113649,0.080505,0.163874,0.083815
-0.024452,0.053558,-0.076837,0.040764,0.113655,0.080506,0.163875,0.083816
-0.024452,0.053556,-0.076839,0.040763,0.113651,0.080503,0.163878,0.08381
-0.024454,0.053555,-0.076841,0.040763,0.11365,0.080503,0.163876,0.083812
-0.024453,0.053557,-0.07684,0.040763,0.113649,0.080505,0.163875,0.083812
-0.024453,0.053558,-0.076839,0.040765,0.113653,0.080505,0.163877,0.083815
-0.024453,0.053557,-0.076839,0.040764,0.113653,0.080504,0.163878,0.083814
-0.024455,0.053556,-0.07684,0.040764,0.113651,0.080504,0.163875,0.083811
-0.024453,0.053557,-0.076839,0.040764,0.113653,0.080504,0.163875,0.083813
-0.024454,0.053559,-0.076839,0.040767,0.113652,0.080509,0.163877,0.083815
-0.024451,0.053558,-0.07684,0.040765,0.11365,0.080503,0.163878,0.083815
-0.024454,0.053556,-0.076838,0.040764,0.113651,0.080504,0.163875,0.083812
-0.024454,0.053557,-0.076839,0.040763,0.113652,0.080504,0.163876,0.083812
-0.024454,0.053558,-0.07684,0.040765,0.11365,0.080506,0.163876,0.083815
-0.024453,0.053559,-0.076838,0.040765,0.113652,0.080504,0.163876,0.083813
-0.024452,0.053556,-0.076838,0.040762,0.11365,0.080503,0.163875,0.083812
-0.024453,0.053555,-0.076839,0.040763,0.113651,0.080503,0.163875,0.08381
-0.024455,0.053557,-0.076838,0.040765,0.113651,0.080503,0.163876,0.083812
-0.024451,0.053558,-0.076838,0.040765,0.113653,0.080506,0.163878,0.083817
-0.024454,0.053556,-0.076838,0.040761,0.113654,0.080503,0.163879,0.083811
-0.024454,0.053556,-0.076838,0.040764,0.113653,0.080504,0.163875,0.083811
-0.024453,0.053557,-0.07684,0.040765,0.113652,0.080506,0.163875,0.083814
-0.024453,0.053558,-0.076838,0.040766,0.113651,0.080506,0.163876,0.083813
-0.024451,0.053557,-0.076839,0.040764,0.113653,0.080505,0.163877,0.083814
-0.024452,0.053556,-0.07684,0.040762,0.113652,0.080503,0.163877,0.083811
-0.024452,0.053557,-0.076839,0.040764,0.113649,0.080504,0.163876,0.083814
-0.024452,0.053558,-0.076837,0.040763,0.113652,0.080504,0.163878,0.083816
-0.024451,0.053557,-0.076837,0.040763,0.113654,0.080504,0.163879,0.083812
-0.024453,0.053556,-0.076838,0.040762,0.113651,0.080502,0.163877,0.083813
-0.024453,0.053556,-0.076841,0.040763,0.11365,0.080504,0.163876,0.083811
-0.024453,0.053558,-0.076839,0.040765,0.113652,0.080507,0.163876,0.083814
-0.024451,0.053557,-0.076839,0.040763,0.113652,0.080504,0.163877,0.083814
-0.024453,0.053557,-0.076839,0.040765,0.113652,0.080504,0.163878,0.083814
-0.024455,0.053554,-0.076839,0.040761,0.113651,0.080502,0.163876,0.083812
-0.024456,0.053559,-0.076839,0.040765,0.113652,0.080503,0.163877,0.083813
-0.024453,0.053556,-0.076837,0.040766,0.113652,0.080505,0.163876,0.083816
-0.024452,0.053556,-0.076838,0.040763,0.113653,0.080503,0.163879,0.083811
-0.024453,0.053556,-0.076841,0.040763,0.113651,0.080504,0.163876,0.083811
-0.024453,0.053556,-0.076841,0.040763,0.113651,0.080504,0.163876,0.083813
-0.024451,0.053558,-0.076838,0.040766,0.113653,0.080506,0.163875,0.083812
-0.024453,0.053557,-0.076837,0.040766,0.113654,0.080506,0.163878,0.083815
-0.024452,0.053555,-0.07684,0.040764,0.113652,0.080503,0.163877,0.083812
-0.024453,0.053556,-0.076839,0.040765,0.113651,0.080505,0.163876,0.083812
-0.024451,0.053557,-0.076838,0.040766,0.113653,0.080505,0.163876,0.083815
-0.024453,0.053559,-0.076836,0.040766,0.113654,0.080504,0.163878,0.083813
-0.024454,0.053556,-0.076836,0.040762,0.113653,0.080504,0.163877,0.083813
-0.024453,0.053558,-0.076838,0.040765,0.113648,0.080504,0.163876,0.083813
-0.024454,0.053556,-0.076839,0.040765,0.113652,0.080505,0.163876,0.083814
-0.024452,0.053557,-0.076836,0.040765,0.113655,0.080506,0.163877,0.083815
-0.024452,0.053558,-0.076838,0.040764,0.113655,0.080504,0.163879,0.083811
-0.024455,0.053555,-0.076837,0.040762,0.113649,0.080503,0.163874,0.083811
-0.024453,0.053557,-0.076841,0.040764,0.113649,0.080504,0.163874,0.083814
-0.024453,0.053558,-0.076839,0.040765,0.113653,0.080505,0.163877,0.083816
-0.024451,0.053557,-0.076838,0.040764,0.113651,0.080505,0.163878,0.083813
-0.024454,0.053556,-0.07684,0.040763,0.113652,0.080504,0.163877,0.083813
-0.024455,0.053557,-0.07684,0.040765,0.113652,0.080505,0.163874,0.083815
-0.024452,0.053558,-0.076842,0.040765,0.113651,0.080506,0.163877,0.083814
-0.024453,0.053556,-0.076838,0.040765,0.11365,0.080506,0.163878,0.083814
-0.024451,0.053557,-0.076839,0.040762,0.113651,0.080505,0.163877,0.083812
-0.024453,0.053556,-0.07684,0.040764,0.113651,0.080504,0.163875,0.083811
-0.024453,0.053558,-0.076838,0.040767,0.113651,0.080505,0.163874,0.083815
-0.024451,0.053557,-0.076837,0.040765,0.113652,0.080505,0.163877,0.083812
-0.024451,0.053556,-0.076839,0.040764,0.113651,0.080503,0.163877,0.083812
-0.024454,0.053555,-0.076841,0.040762,0.113653,0.080503,0.163875,0.083813
-0.024453,0.053557,-0.076838,0.040764,0.113651,0.080504,0.163877,0.083812
-0.024452,0.053559,-0.076839,0.040766,0.11365,0.080505,0.163875,0.083816
-0.024452,0.053557,-0.076837,0.040766,0.113652,0.080505,0.163878,0.083813
-0.024455,0.053554,-0.07684,0.040764,0.113651,0.080503,0.163877,0.083813
-0.024452,0.053555,-0.076839,0.040763,0.11365,0.080502,0.163876,0.083812
-0.024454,0.053558,-0.076839,0.040766,0.113652,0.080507,0.163876,0.083816
-0.024451,0.053557,-0.07684,0.040764,0.113652,0.080505,0.163877,0.083814
-0.024454,0.053556,-0.07684,0.040765,0.113652,0.080504,0.163875,0.083811
-0.024454,0.053557,-0.076842,0.040763,0.113652,0.080503,0.163875,0.083813
-0.024454,0.053558,-0.076837,0.040765,0.11365,0.080507,0.163877,0.083815
-0.024453,0.053558,-0.076839,0.040765,0.113652,0.080506,0.163877,0.083813
-0.024452,0.053556,-0.076837,0.040762,0.113652,0.080504,0.163878,0.083813
-0.024455,0.053555,-0.076839,0.040762,0.113651,0.080503,0.163878,0.083811
-0.024454,0.053559,-0.076838,0.040765,0.11365,0.080506,0.163876,0.083815
-0.024453,0.053558,-0.076836,0.040765,0.113651,0.080505,0.163878,0.083816
-0.024452,0.053557,-0.07684,0.040764,0.113651,0.080506,0.163877,0.083812
-0.024454,0.053554,-0.076839,0.040763,0.113653,0.080502,0.163875,0.083813
-0.024454,0.053558,-0.07684,0.040764,0.113651,0.080506,0.163875,0.083812
-0.024452,0.053558,-0.076838,0.040763,0.113653,0.080507,0.163876,0.083816
-0.024453,0.053557,-0.076837,0.040764,0.113653,0.080506,0.163877,0.083815
-0.024453,0.053554,-0.076838,0.040764,0.113652,0.080503,0.163876,0.083811
-0.024454,0.053555,-0.076839,0.040762,0.113651,0.080505,0.163876,0.083812
-0.024455,0.053557,-0.076837,0.040767,0.113651,0.080505,0.163876,0.083813
-0.024453,0.053558,-0.076838,0.040764,0.113652,0.080506,0.163877,0.083815
-0.024452,0.053557,-0.076839,0.040763,0.113654,0.080503,0.163876,0.083811
-0.024453,0.053557,-0.076839,0.040764,0.113651,0.080504,0.163875,0.083811
-0.024453,0.053559,-0.076838,0.040766,0.113651,0.080506,0.163876,0.083816
-0.024453,0.053559,-0.076838,0.040766,0.113649,0.080505,0.163878,0.083812
-0.024451,0.053557,-0.076837,0.040763,0.113653,0.080505,0.163877,0.083814
-0.024456,0.053555,-0.076841,0.040761,0.113652,0.080504,0.163874,0.083809
-0.024456,0.053558,-0.076838,0.040765,0.11365,0.080505,0.163876,0.083814
-0.024454,0.053558,-0.076838,0.040763,0.113655,0.080506,0.163878,0.083816
-0.024452,0.053556,-0.076839,0.040763,0.113651,0.080504,0.163876,0.083811
-0.024454,0.053556,-0.076839,0.040764,0.113652,0.080503,0.163876,0.083812
-0.024455,0.053556,-0.076838,0.040763,0.113651,0.080504,0.163876,0.083813
-0.024454,0.053558,-0.076838,0.040765,0.113653,0.080507,0.163875,0.083815
-0.024452,0.053557,-0.076838,0.040765,0.113653,0.080505,0.163875,0.083814
-0.024455,0.053555,-0.07684,0.040762,0.113651,0.080503,0.163876,0.083811
-0.024453,0.053555,-0.07684,0.040762,0.113651,0.080503,0.163875,0.083812
-0.02445,0.053559,-0.076836,0.040766,0.113654,0.080505,0.163875,0.083813
-0.024452,0.053558,-0.076836,0.040763,0.113652,0.080505,0.163877,0.083814
-0.024453,0.053554,-0.076838,0.040762,0.113651,0.080502,0.163878,0.083812
-0.024456,0.053556,-0.076841,0.040764,0.11365,0.080504,0.163875,0.083812
-0.024452,0.053559,-0.076841,0.040762,0.113652,0.080506,0.163876,0.083815
-0.024452,0.053558,-0.076836,0.040765,0.113653,0.080506,0.163876,0.083814
-0.024453,0.053556,-0.076837,0.040764,0.113653,0.080504,0.163876,0.083814
-0.024452,0.053556,-0.07684,0.04076,0.11365,0.080502,0.163877,0.083812
-0.024453,0.053558,-0.076839,0.040766,0.113651,0.080506,0.163876,0.083814
-0.024452,0.053556,-0.076838,0.040764,0.113652,0.080506,0.163877,0.083817
-0.024452,0.053557,-0.076837,0.040764,0.113654,0.080504,0.163879,0.083812
-0.024455,0.053555,-0.076838,0.040763,0.11365,0.080503,0.163876,0.083812
-0.024455,0.053556,-0.07684,0.040763,0.11365,0.080504,0.163876,0.083815
-0.02445,0.053558,-0.076838,0.040766,0.113653,0.080506,0.163877,0.083816
-0.024451,0.053558,-0.076837,0.040764,0.113653,0.080506,0.163879,0.083815
-0.024453,0.053556,-0.076838,0.040763,0.113652,0.080503,0.163877,0.083811
-0.024454,0.053557,-0.076839,0.040763,0.113651,0.080503,0.163876,0.083814
-0.024452,0.053559,-0.07684,0.040765,0.113651,0.080504,0.163876,0.083816
-0.024452,0.053557,-0.076837,0.040765,0.113655,0.080505,0.163876,0.083812
-0.024452,0.053555,-0.076839,0.040763,0.113653,0.080503,0.163877,0.083813
-0.024453,0.053557,-0.076839,0.040763,0.113653,0.080504,0.163876,0.083812
-0.024455,0.053557,-0.076839,0.040763,0.113651,0.080506,0.163877,0.083814
-0.024453,0.053558,-0.076839,0.040763,0.113654,0.080506,0.163878,0.083814
-0.02445,0.053556,-0.076838,0.040761,0.113654,0.080505,0.163877,0.083812
-0.024453,0.053555,-0.076839,0.040761,0.113653,0.080504,0.163875,0.083812
-0.024455,0.053557,-0.076839,0.040764,0.11365,0.080504,0.163875,0.083812
-0.024453,0.053559,-0.076839,0.040767,0.113654,0.080506,0.163878,0.083816
-0.024452,0.053556,-0.076837,0.040762,0.113652,0.080504,0.163877,0.083812
-0.024452,0.053557,-0.076838,0.040763,0.113652,0.080502,0.163878,0.083812
-0.024455,0.053556,-0.076838,0.040762,0.113651,0.080505,0.163876,0.083813
-0.024454,0.053558,-0.07684,0.040765,0.113652,0.080506,0.163877,0.083814
-0.024451,0.053557,-0.076835,0.040764,0.113654,0.080506,0.163877,0.083815
-0.024452,0.053556,-0.076838,0.040762,0.113651,0.080502,0.163875,0.083811
-0.024454,0.053557,-0.076842,0.040764,0.113649,0.080504,0.163877,0.083812
-0.024454,0.053558,-0.076838,0.040763,0.113651,0.080507,0.163877,0.083816
-0.024452,0.053558,-0.076835,0.040765,0.113654,0.080506,0.163878,0.083815
-0.024453,0.053556,-0.07684,0.040762,0.113653,0.080504,0.163877,0.083813
-0.024454,0.053555,-0.07684,0.040764,0.11365,0.080503,0.163876,0.083812
-0.024454,0.053557,-0.076839,0.040765,0.113651,0.080505,0.163875,0.083815
-0.024451,0.053558,-0.076839,0.040764,0.113652,0.080504,0.163878,0.083815
-0.024453,0.053557,-0.076837,0.040764,0.113652,0.080504,0.163877,0.083812
-0.024454,0.053556,-0.076838,0.040763,0.11365,0.080504,0.163876,0.083813
-0.024455,0.053558,-0.076836,0.040763,0.113652,0.080507,0.163876,0.083814
-0.024452,0.05356,-0.076838,0.040765,0.113652,0.080506,0.163878,0.083816
-0.024453,0.053556,-0.076836,0.040762,0.113653,0.080503,0.163877,0.083812
-0.024454,0.053557,-0.07684,0.040764,0.113652,0.080504,0.163879,0.08381
-0.024453,0.053556,-0.076838,0.040764,0.11365,0.080504,0.163875,0.083814
-0.024451,0.053559,-0.076838,0.040766,0.113652,0.080506,0.163877,0.083815
-0.024452,0.053557,-0.076838,0.040763,0.113652,0.080506,0.163878,0.083814
-0.024452,0.053556,-0.076838,0.040762,0.113652,0.080503,0.163876,0.083813
-0.024453,0.053556,-0.076841,0.040762,0.11365,0.080503,0.163876,0.08381
-0.024454,0.053558,-0.076839,0.040764,0.113652,0.080505,0.163877,0.083815
-0.024451,0.053558,-0.076839,0.040764,0.113653,0.080506,0.163878,0.083814
-0.024453,0.053556,-0.076839,0.040763,0.113651,0.080503,0.163877,0.083814
-0.024456,0.053558,-0.076839,0.040765,0.11365,0.080504,0.163876,0.083814
-0.024454,0.053557,-0.076841,0.040764,0.11365,0.080505,0.163876,0.083813
-0.024452,0.053559,-0.076837,0.040765,0.113652,0.080506,0.163876,0.083816
-0.024451,0.053558,-0.076836,0.040764,0.113655,0.080504,0.16388,0.083812
-0.024455,0.053555,-0.076837,0.040762,0.113651,0.080502,0.163879,0.083813
-0.024454,0.053556,-0.076841,0.040761,0.113652,0.080504,0.163876,0.083813
-0.024454,0.053558,-0.076837,0.040765,0.113652,0.080504,0.163877,0.083813
-0.024452,0.053557,-0.076836,0.040762,0.113655,0.080505,0.163877,0.083813
-0.024452,0.053556,-0.076839,0.040763,0.113653,0.080502,0.16388,0.083811
-0.024455,0.053556,-0.07684,0.040763,0.113651,0.080504,0.163876,0.083813
-0.024454,0.053558,-0.076841,0.040762,0.113652,0.080504,0.163878,0.083814
-0.024452,0.053559,-0.076838,0.040764,0.113652,0.080506,0.163876,0.083813
-0.024453,0.053556,-0.076838,0.040762,0.113651,0.080505,0.163877,0.083815
-0.024455,0.053555,-0.076841,0.040764,0.113652,0.080503,0.163876,0.083812
-0.024455,0.053557,-0.076836,0.040765,0.113652,0.080505,0.163878,0.083815
-0.024451,0.053558,-0.076836,0.040765,0.113652,0.080505,0.163876,0.083816
-0.024453,0.053557,-0.07684,0.040764,0.113653,0.080505,0.163877,0.083812
-0.024454,0.053556,-0.076841,0.040762,0.113653,0.080504,0.163875,0.083812
-0.024455,0.053555,-0.07684,0.040765,0.11365,0.080504,0.163874,0.083812
-0.024455,0.053557,-0.07684,0.040763,0.113652,0.080505,0.163877,0.083814
-0.024451,0.053559,-0.076839,0.040763,0.113653,0.080505,0.163878,0.083815
-0.024454,0.053556,-0.076837,0.040764,0.113652,0.080504,0.163876,0.083812
-0.024454,0.053555,-0.076838,0.040762,0.113652,0.080503,0.163876,0.083812
-0.024453,0.053558,-0.076838,0.040766,0.113653,0.080506,0.163876,0.083813
-0.024453,0.053557,-0.076838,0.040762,0.113653,0.080504,0.163878,0.083814
-0.024452,0.053557,-0.076838,0.040764,0.113654,0.080504,0.163877,0.083812
-0.024452,0.053557,-0.076839,0.040763,0.11365,0.080503,0.163877,0.083813
-0.024453,0.053557,-0.07684,0.040765,0.11365,0.080506,0.163876,0.083815
-0.024452,0.053559,-0.076841,0.040767,0.11365,0.080505,0.163876,0.083813
-0.024453,0.053557,-0.07684,0.040763,0.113653,0.080504,0.163877,0.083813
-0.024456,0.053556,-0.07684,0.040763,0.113652,0.080502,0.163876,0.083809
-0.024455,0.053556,-0.076839,0.040763,0.113651,0.080505,0.163876,0.083815
-0.02445,0.053558,-0.076838,0.040765,0.113654,0.080505,0.163876,0.083816
-0.024453,0.053558,-0.076837,0.040764,0.113653,0.080504,0.163877,0.08381
-0.024453,0.053555,-0.076839,0.040764,0.11365,0.080502,0.163877,0.083814
-0.024456,0.053556,-0.076842,0.040763,0.11365,0.080503,0.163875,0.083811
-0.024454,0.053559,-0.076841,0.040765,0.113651,0.080505,0.163878,0.083815
-0.024452,0.053558,-0.076836,0.040763,0.113654,0.080505,0.163878,0.083816
-0.024454,0.053555,-0.076838,0.040763,0.11365,0.080502,0.163878,0.08381
-0.024455,0.053556,-0.076838,0.040763,0.113652,0.080503,0.163875,0.083812
-0.02445,0.053557,-0.076839,0.040764,0.113653,0.080505,0.163876,0.083814
-0.024453,0.053558,-0.076838,0.040764,0.113651,0.080506,0.163876,0.083814
-0.024454,0.053555,-0.076839,0.040761,0.113653,0.080505,0.163879,0.083812
-0.024455,0.053557,-0.07684,0.040764,0.113651,0.080503,0.163876,0.083813
-0.024454,0.053557,-0.076838,0.040764,0.113652,0.080505,0.163877,0.083815
-0.024452,0.053558,-0.076838,0.040763,0.113654,0.080505,0.163875,0.083814
-0.024453,0.053558,-0.076839,0.040763,0.113653,0.080503,0.163876,0.083814
